CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,D001_01,D002_01,D003_01,D004_01,D005_01,D006_01,D007_01,D008_01,D009_01,D010_01,D011_01,D012_01,D013_01,D014_01,D015_01,D016_01,D017_01,D018_01,D019_01,D020_01,D021_01,D022_01,D023_01,D024_01,D025_01,D026_01,D027_01,D028_01,D029_01,D030_01,D031_01,D032_01,D033_01,D034_01,D035_01,D036_01,D037_01,D038_01,D039_01,D040_01,EX01_01,EX01_02,EX01_03,EX01_04,EX01_05,EX01_06,EX01_07,EX01_08,EX01_09,EX01_10,EX01_11,EX01_12,EX01_13,EX01_14,EX01_15,EX01_16,EX01_17,EX01_18,EX01_19,EX01_20,F001_01,F002_01,F003_01,F004_01,F005_01,F006_01,F007_01,F008_01,F009_01,F010_01,F011_01,F012_01,F013_01,F014_01,F015_01,F016_01,F017_01,F018_01,F019_01,F020_01,F021_01,F022_01,F023_01,F024_01,F025_01,F026_01,F027_01,F028_01,F029_01,F030_01,F031_01,F032_01,F033_01,F034_01,F035_01,F036_01,F037_01,F038_01,F039_01,F040_01,Q001_01,Q001_02,Q001_03,Q001_04,Q002_01,Q002_02,Q002_03,Q002_04,Q003_01,Q003_02,Q003_03,Q003_04,Q004_01,Q004_02,Q004_03,Q005,Q006,Q007_01,R001_CP,R001x01,R001x02,R001x03,R001x04,R001x05,R001x06,R001x07,R001x08,R001x09,R001x10,R001x11,R001x12,R001x13,R001x14,R001x15,R001x16,R001x17,R001x18,R001x19,R001x20,R001x21,R001x22,R001x23,R001x24,R001x25,R001x26,R001x27,R001x28,R001x29,R001x30,R001x31,R001x32,R001x33,R001x34,R001x35,R001x36,R001x37,R001x38,R001x39,R001x40,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME031,TIME032,TIME033,TIME034,TIME035,TIME036,TIME037,TIME038,TIME039,TIME040,TIME041,TIME042,TIME043,TIME044,TIME045,TIME046,TIME047,TIME048,TIME049,TIME050,TIME051,TIME052,TIME053,TIME054,TIME055,TIME056,TIME057,TIME058,TIME059,TIME060,TIME061,TIME062,TIME063,TIME064,TIME065,TIME066,TIME067,TIME068,TIME069,TIME070,TIME071,TIME072,TIME073,TIME074,TIME075,TIME076,TIME077,TIME078,TIME079,TIME080,TIME081,TIME082,TIME083,TIME084,TIME085,TIME086,TIME087,TIME088,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
493,,808,SONA,interview,10/2/23 20:42,,,1,1,,1,,,2,,,2,1,2,1,1,2,1,,,,2,,,,,1,,1,,,,,2,,,,,,,,,2-3 year old boy,3 year old boy.,,A 3 year old little girl,,,,,,,It looks like an 11-12 year old boy.,,A 4-5 year old boy.,A 1 year old little boy.,,8 year old boy.,,,,,,,,,2 year old little boy,,It looks lke a 9-10 year old girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He's sad he can't get something,,,Crying because he got hurt as there's a cut by the eye.,,Crying because he looks like he's at the doctors.,,,He feels sad.,,,,,It doesn't look like they have any facial expression they're just looking at the camera blank faced.,,,,,,,,,,,,This baby is sad.,,,,,,,,,,,,,,,,,,,,,,,,,167,4,17,9,29,15,3,22,34,13,12,6,16,27,14,18,10,32,5,36,40,23,24,7,19,35,2,30,26,31,39,8,25,37,1,20,28,33,21,38,11,8,2,,,,,21,23,20,157,,,2,17,,,,,412,1549,1379236,,,,2,48,120,25,3,409,2,21,3,15,22,113,12,12,,,,,,,2,60,,,,,,,,,208,23,,,3,44,,,,,,,,,3,17,,,,,,,,,,,,,,,,,,,451,,10/18/23 20:45,0,0,21,70,0,0,0.86
494,,809,SONA,interview,10/5/23 16:53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,11 year old boy,a boy around 8,A boy he looks surprised,5 year old boy,crying child,3 year old girl,a boy around 7,a girl crying around 5 or 6,7 year old boy,crying 4 year old,a little girl wearing bright colors,4 year old boy,crying boy 10 years old,8 year old boy,"A little boy,crying. ",crying 3 year old girl,crying 6 year old boy.,8 year old boy,5 year old boy,6 year old boy,2 year old ,A boy possibly around 7 or 8 years old. ,,a boy around 5 or 6,2 year old boy,5 year old boy,a boy around 7 years old,,12 year old girl,"a little boy cold, wearing a warn down vest as a blanket.",a boy around 8 or 9,7 year old boy,a crying child,crying 5 year old,,6 year old boy,crying 4 year old boy,2 year old boy,a sad boy around 5,3 year old boy,3,7,-9,3,4,2,4,2,4,6,6,5,2,6,2,4,6,6,2,2,,,,,,,,,,,,,,,,,,,,,,,this kids like why you taking pictures of me bro im tryna eat.,,,,,"They have sad eyes, probably scared of whoevers taking the photo, and hungry",,,,,,,He looks mad.,,,,,,easy,enie meanie mini moe,describe,no,3,3,1,3,5,5,5,5,female,white,19,4,2,1,168,28,22,15,35,30,11,23,33,3,27,8,31,24,2,7,39,5,13,17,34,32,9,10,16,29,19,37,1,6,26,38,20,14,18,4,36,40,12,25,21,8,21,4,89,2,13,5,28,2,27,207454,12,2,11,2,12,13,23,3,11,2,18,7,18,2,12,56,31,4,13,4,22,6,28,5,13,3,13,2,30,3,16,2,17,4,43,4,50,3,15,3,12,2,13,3,23,13,51,2,13,6,32,3,22,2,15,4,20,4,18,4,15,3,12,2,18,2,11,3,17,3,18,88,53,28,90,10,3,1305,,10/8/23 2:53,1,0,88,88,1,1,1.19
501,,810,SONA,interview,10/10/23 17:54,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,The child seems to be looking up at the camera and they have a dirty blue shirt on,"The child seems to have dirt on their face, and they seem to have a red necklace on and a dirty white shirt.",,"The child seems to have a stern look on his face with a tear running down his face, and they are wearing a green shirt and a necklace on.",The child seems to be a boy and around 9 years old,,"The bald child is looking directly at the camera with his big eyes, and the child seems to be hiding behind a peice of fabric",The child seems to have tears running from of their big eyes and seems to be looking upward from a downward tilt.,The child seems to be a boy and around 7 years old,The child seems to be a girl and around 6 years old,"The child has big eyes with a peice of clothing wrapped around her head, and the child has a black and brown necklace on too.",The child seems to be leaning on someones chest and has tears coming from both eyes,The child seems to be a girl and around 9 years old,The child seems to have tears running down their face with their mouth open and they have a blue and white collared shirt on ,The child has both his arms behind his head and has tears running down from both eyes.,The child seems to be a boy and around 1 year old,The child seems to have a green undershirt to a white crewneck and has tears coming from both eyes,The child seems to be hanging  and leaning on a cement wall with no shirt on,The child seems to look uncomfortable and you can see his rubs through the skin and his shouders,The person here has a braid on the top of his head and a dirty button up on with only 2 buttons buttoned.,The child seems to be a boy and around 2 years old,,The child seems to be a boy and around 8 years old,The child has its head down looking at the camera with a green shirt on,"The child has bigs eyes with tears running down their face, and the child seems to have red clothing on too.",The child seems to be a boy and around 3 years old ,The child seems to have thier head tilted to the right and they have a multi colored collared shirt on,The child seems to be a boy and around 5 years old,The child seems to be a girl and around 8 years old,The child seems to have a dirty flannel on and has his hands on his chin.,The child seems to have yellow eyes and has a blue shirt on.,The child seems to be a girl and around 3 years old,"The child in the photo has big eyes and has tears coming down its face, and it have a hat or hood on of some sort.",The child seems to be hugging or leaning on someone while they have tears coming from both eyes,The child seems to be a boy and around 4 years old,"The little boy has a stern look on his face, and the boy has a little hair and big eyes.",The child seems to be in the lap of a gaurdian with a green flannel on and tears coming down his face,"The littke boy has big beautiful eyes with a tear coming from his left eye, and the little boy doesn't have a lot of a hair either.",The child has their hands behind their head and they seem to have tears coming from their eyes,The child seems to be a boy and around 5 years old,1,6,-9,2,1,1,4,1,-9,7,5,6,1,3,1,1,7,3,1,1,,,The person looks shocked as if someone scared him and his heart feels like a it had stopped.,,,I believe that this liitle girl is sad and is crying because she can not do something that she wanted to due to her parents not letting her.,,,,,,,,,,,,,,,,The person in this photo looks contempt and looks like he is going somewhere he normally goes on a regular Tuesday.,,,,,,,,,,,,,,,,,,,Tedious and it felt wrong,I chose which one I would be better at,"Yes I did, the red ","yes there was, one was a question about feelings and the other was about how the child looked",2,1,1,5,3,2,4,4,Male,White,18,5,1,5,169,6,38,36,22,3,20,33,15,7,11,30,4,2,25,31,8,24,17,1,12,27,14,34,18,37,19,39,23,21,28,9,10,13,16,35,26,29,40,32,5,3,3,4,44,609,92,4,31,3,50,3,15,8,52,3,128,2,204,5,12,3,13,1,69,2,26,2,12,3,43,299,109,2,12,1,40,3,38,2,36,2,67,2,36,4,64,36,58,3,28,2,40,6,12,3,67,2,27,2,13,6,67,3,21,2,11,2,59,2,35,2,12,4,64,2,37,3,65,2,27,2,12,118,18,25,77,2,2,1849,,10/10/23 18:46,1,0,88,88,2,2,1.12
502,,793,SONA,interview,10/10/23 18:14,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,2,2,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,,,2 years old male ,5 years old male ,,2 years old and a female ,male 4 years old ,2 years old female ,,3 years old male,2 years old female ,6 years old and is a male ,,3 years old and is a male ,,1 year old male ,Male maybe 4 years old,,,3 years old male ,1 years old male ,,,2 years old male ,1 year old male ,2 years old male ,3 years old male ,,female ages maybe 7 ,,,male 4 years old ,1 year old female ,,3 years old in age and is a male ,,3 years old male,1 years old male ,,,1,1,1,1,4,4,-9,1,6,6,2,2,6,6,3,5,5,6,5,1,upset but more mad about soemthing ,mad at soemthing ,,,sad and very upset about something ,,,,lost and alone probably upset ,,,,sad and disappointed,,feeling upset and sad,,,maybe tierd and sad,upset and in pain ,,,trapped and sad,happy he has food but feeling of wanting more and looks upset ,,,,,upset and angry ,,cold and upset ,looks upset about soemthing ,,,very sad and upset ,,feeling angry ,,,sad and upset ,feeling upset and sad ,boring ,i just like the color red,yes i felt the red deck was easier ,yah one you had to try to tell there emotions ,4,3,3,4,4,4,3,4,Female,White,19,2,1,5,170,17,10,18,5,37,4,2,34,6,14,19,12,1,26,9,23,29,27,31,20,38,35,40,15,36,28,30,13,24,11,3,21,8,32,25,39,22,33,7,16,6,2,2,21,3,18,9,15,2,11,2,11,1,25,5,12,2,17,2,12,4,12,7,15,2,11,2,34,3,11,9,11,2,12,6,22,3,25,3,11,2,62,2,31,2,11,4,19,3,14,4,15,2,11,3,49,17,24,2,41,1,14,3,13,3,15,2,11,2,13,2,12,2,37,3,10,2,11,1,12,3,14,71,20,22,55,1,2,1038,,10/10/23 18:32,1,0,88,88,1,1,1.52
503,,802,SONA,interview,10/12/23 4:50,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,This is a seven yar old boy.,This is a thirteen year old girl,This is a seven year old boy.,This is a female four year old.,This is a nine year old boy.,This is a five year old girl.,,This is a seven year old boy.,This is a six year old girl.,A six year old boy.,This is a five year old girl.,This is an eight year old girl.,this is a 15 year old boy,This is a four year old boy.,This is a six year old boy.,This is a four year old girl.,This is an eleven year old boy.,this is a seven year old boy,This is a very badly neutritioned four year old boy.,,This is a three year old girl.,this is a five year old girl.,this is a five year old girl,This is a eight year old boy.,,,,This is an eight year old girl.,,This is a four year old boy.,This is a ten year old boy.,This is a six year old boy,An eighteen month old baby girl.,"This is a child, I believe to be female due to the necklace.",,This is a young four year old boy.,This is a four year old boy.,This is what i believe to be a female two year old.,This is an eight year old boy.,this is a three year old girl.,6,3,3,3,1,2,3,2,4,6,4,3,3,6,3,5,2,4,2,6,,,,,,,I think this kid is in fear that it is tryinig to hide behing the mech thing.,,,,,,,,,,,,,"This person seems sassy, kind of in the ""ugh its you again"" way.",,,,,This child is feeling sadness.,"This child looks sad, or in somme sort of pain.",From this picture i feel like this child has been through something rough and has yet to feel relieve.,,This person looks like they have given up.,,,,,,I feel like this child is feeling confused about why it is getting photographed. ,,,,,,very repetative,which one was faster to notice.,yes,yes,1,1,3,5,3,3,3,2,Female,Hispanic,18,1,2,3,171,34,35,38,20,36,27,25,7,4,32,31,33,15,23,24,10,3,28,30,26,29,5,14,21,17,16,2,8,11,39,6,37,19,9,1,22,13,18,40,12,7,2,9,17,3,22,3,15,8,27,2,23,3,22,3,51,6,27,11,21,2,16,4,16,2,14,2,15,3,14,9,36,7,16,3,20,9,33,4,44,3,102,3,18,3,15,34,26,3,15,24,21,2,20,4,41,2,21,3,23,11,16,7,19,3,17,4,25,15,63,3,52,12,38,18,54,2,37,3,69,3,14,86,25,27,131,21,3,1586,,10/12/23 5:18,1,0,88,88,0,0,1
506,,779,SONA,interview,10/20/23 16:17,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,This child is about 8 years old and is a male.,,This child is about 4 years old and is a male.,This child is about 3-4 years old and is a male.,This child is about 4 years old and is a male.,This child is about 3-4 years old and is female.,The child is about 4 years old and is a male.,This child is about 6 years old and is a male (?).,This child is about 4-5 years old and is a male.,This child is about 7 years old and is likely a female.,This child is about 4-5 years old and is a female.,This child is about 6 years old and is a male.,This child is about 12 years old and is a male.,This child is about 4 years old and is a male.,This child is about 10 years old and is a male.,This child is 2 years old and is a male.,This child is about 5-6 years old and is a male.,The child looks a little bit older than 6 and is a male.,This child is about 6-7 years old and is a male.,This child is about 2 years old and is a male.,This child is about 1-2 years old and most likely a male.,This child is about 7 years old and is a male.,The cild is 5-6 years old and is a male.,This child is about 6-7 years old and is a male.,This child is about 2-3 years old and is a most likely a female.,This child is about 3-4 years old and is a male.,The child is about 6 years old and is a male.,This child is about 7-8 years old and is a female.,This child is about 10 years old and female (?).,This child is about 5 years old and is a male.,This child is about 6 years old and is a male.,This child is about 6-7 years old and is likely a male.,This child is about 2 years old and is likely a female.,This child is about 3-4 years old and is a male.,This child is about 3 years old and is a male.,This child is about 3 years old and is a male.,This child is about 4 years old and is a female.,This child is about 3-4 years old and is a male.,This child is about 3-4 years old and is a male.,This child isa bout 2-3 years old and is a male.,5,4,6,2,5,4,1,4,3,5,1,1,6,5,3,5,5,6,4,2,,"I need help, please give me opportunities, and a way to become someone better.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,okay,I went with the one I was stronger in.,"Yes, the describe","Yes, one was easier.",4,3,4,4,5,5,4,3,woman,white/ mexican,20,4,3,5,172,2,27,18,7,23,29,28,3,31,21,20,26,17,39,19,9,4,25,15,13,14,36,30,35,1,12,40,16,32,11,34,6,10,38,33,22,5,8,37,24,25,45,3,27,7,92,4,20,4,26,4,26,4,33,3,23,4,27,3,44,3,33,4,30,2,30,3,37,6,22,4,21,4,25,3,22,4,48,3,29,3,26,4,51,3,24,3,23,20,27,4,46,4,28,10,31,3,35,3,100,3,19,5,25,4,46,3,27,4,20,3,22,3,20,3,30,4,22,4,36,3,17,77,32,36,167,20,3,1763,,10/20/23 16:48,1,0,88,88,0,0,0.87
507,,789,SONA,interview,10/24/23 19:47,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,This is a picture of a seven year old boy.,,,Eight-year-old boy,,,,This person is a nine year old girl.,,,,This is a five year old girl.,This person is a eleven year old girl.,,,This is a picture of a two year old little boy.,This is a picture of a eight year old boy.,,This is a picture of a five year old boy.,,,,This is a picture of a eight year old boy.,This is a picture of a seven year old boy. ,This is a picture of a three year old little boy.,,,,This is a picture of a teenage boy.,This is a eight year old boy.,This is a picture of a ten year old girl.,,,This is a picture of a four year old boy. ,This is a picture of a six year old boy.,This is a seven year old boy.,This is a picture of a seven year old boy.,This is a picture of a three year old boy.,,,4,7,4,3,1,3,4,3,3,6,4,3,5,7,1,6,7,5,2,3,,This person looks fed up and wants to be able to sleep somewhere.,This person looks like they are in shock and doesn't believe what they are seeing.,,This person is visibly upset and the camera probably made it worse.,"The girl in the picture is upset but not overly upset, looks like she's disappointed.",This person looks like they are playing hide and seek and just found where their friend was hiding.,,This boy looks like he just wants to be safe and to play without worry.,They are crying because they are very sad. ,This person looks like they don't know what is happening and just want to be left alone.,,,The child is upset and looks like he's uncomfortable in his environment.,This person looks like they have given up and feels like they can't fix anything.,,,This person looks like he is in pain and can't do anything about it.,,He seems like he wants something. Honestly it's probably food and love. He looks like he just wants a hug. ,The baby is looking off into the distance like something is happening around it and it's unsure about it.,They look scared. Like they don't know what is happening around them. ,,,,He looks like he is trying to be silly but he could be exhausted from the heat.,This person looks like he wants something really badly but knows he can't get it.,Their eyes seem like they have seen so much. Like the have been through a war. It's not sad but tiresome.,,,,They look scared and unsure of what their future holds.,The baby is crying probably because it wants something or someone took something away from it.,,,,,,"The boy is crying and seems stressed out, I can tell because of his posture.",This person is upset because they are looking at something that we can't see.,It was difficult because I didn't know if I was doing it right.,I just went back and forth.,"Yes, the describing one because it felt easier.","No, they were all pictures of sad kids.",2,2,1,4,5,4,3,3,Woman,Native American/Hispanic,18,3,3,4,173,4,28,19,20,22,25,29,10,21,31,16,6,33,35,34,26,32,24,9,1,7,2,17,27,38,11,37,39,40,23,18,5,13,8,14,30,3,36,12,15,9,50,8,19,2,29,6,41,4,46,2,25,2,41,2,33,2,12,4,26,2,20,2,27,3,13,9,17,2,36,2,32,3,19,2,21,4,28,2,34,2,52,2,34,2,58,2,22,3,18,2,26,1,28,4,25,3,46,2,24,25,15,3,23,3,22,2,39,2,18,6,16,3,12,2,17,2,16,2,29,2,24,106,31,23,114,17,3,1546,,10/24/23 20:13,1,0,88,88,0,0,1.14
508,,826,SONA,interview,10/25/23 21:23,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,the little boy who look around like 4 standing around the tree looking sad,,,,,,,,,a 4 year old boy is mad about something and looking deeply in that picture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This little boy is feeling hurt and crying about something he might get hurt or felling tired ,,,,,,,,,,,,,,,,,,,,this person is feeling upset and crying a lot  and look likes they around a lot of people ,,,,,,,,,,,,,,,,,,,,,,,,,174,14,26,34,35,40,3,16,8,18,30,1,15,10,12,6,36,31,29,25,21,5,28,11,37,39,19,22,2,33,27,17,4,23,38,24,9,20,32,7,13,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,10,338,,,,,,,,,,,,,,,,,,,,,,,8,1847,,,,,,,,,,,,,,,3,106,35,48,,,,,,,,,4,,,,,,,,160,,10/25/23 22:04,0,0,81,81,0,0,0.62
509,,792,SONA,interview,10/27/23 23:00,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,1,2,1,2,1,This is a little boy and he looks like he is 5.,"This is a little girl, and they look about 7.",This little boy looks about 4,This person is a little  boy and he looks to be 6.,This little girl looks about 4 or 5,This little girl looks about 2 or 3,This little boy looks to be about 5,,,,This person is probably 4 and they look shy from the camera,This is a picture of a little boy and they look 5.,This little girl looks to be close to 10 or 11,This is a little boy and he looks about 4.,,"This is a little boy, and they look like they are about 2.",,This is a little boy and he looks 9.,This is a little boy and he looks to be about 3.,,This is a little boy who looks 3,,This is a little boy and he looks to be about 3.,,This little boy looks to be about 3 ,,This is a little boy and they look 6.,,,This little boy looks to be about 3 or 4,,This is a little boy and they look like they are about 3.,"This looks like a baby boy, and they could be about 1.",,"This is a little boy, and he looks 3.",This is a little boy and they look to be about 3.,,This is a little boy who looks 2.,,This looks like a little boy and they seem to be 2.,2,6,3,1,1,1,2,2,4,7,3,4,3,6,1,1,7,7,4,2,,,,,,,,"This person is experiencing sadness, causing them to cry.","This person looks like they are experiencing boredome, and or feeling trapped.",This person looks like they are exhausted from crying ,,,,,This person looks tired and sad,,This person looks like they are experiencing anger and sadness.,,,"This person does not look to be experiencing any good or bad feeling, just the feeling of being here.",,This person seems to be feeling trapped.,,This person looks like they could be feeling shy or nervous,,This person looks more tired than sad.,,"This person does not seem to be feeling any negative or good feelings, just the feeling of being present.","This person looks like they are tired, and they have mud on them!",,"This person is not crying, but they still appear to be sad.",,,This person looks like they feel very sad,,,This person looks sad,,This person is most likely feeling overwhelming sadness.,,Kind of pointless,Randomly,Yes,Yes,5,3,5,5,2,2,5,5,Female,African American,19,4,3,3,175,39,4,29,12,2,8,18,17,27,16,9,32,36,20,19,40,28,23,33,31,1,14,22,35,11,37,38,21,5,34,26,10,13,6,3,7,24,25,15,30,5,5,6,21,7,32,2,14,4,47,3,18,3,24,2,17,4,31,3,48,3,38,2900682,28,5,100,16,29,4,32,4,15,5,57,5,31,3,40,6,78,5,39,4,15,12,359,5,40,5,26,3,23,2,50,3,31,13,62,6,48,4,22,4,30,12,54,6,33,4,21,3,23,106,57,4,30,3,18,6,62,3,30,71,33,21,71,5,4,1705,,11/30/23 12:23,1,0,88,88,0,0,0.85
510,,826,SONA,interview,10/28/23 5:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,16,1,9,39,12,26,17,21,36,13,28,19,2,37,3,6,11,29,4,32,22,31,18,24,8,15,7,23,10,40,30,20,38,33,14,5,34,27,35,25,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,10/28/23 5:57,0,0,2,2,,,2.18
514,,828,SONA,interview,11/2/23 16:48,1,2,1,2,1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,The age of this person is 8 years old and they are a boy,,This person looks like a 3 year old girl.,,The age of this person is 4 years old and they appear to be a boy.,,,The age and gender of this person is a 4 year old boy.,This person looks lke a 7 year old boy.,This person looks 8 years old and they look like a girl. ,,This perosn looks like a 6 year old girl. ,The age of this person is 15 and they are a girl.,,The age of this person is 7 years old and they are a boy.,,The age of this person is 5 years old and they are a boy. ,The age of this person is 8 and they are a boy.,The gender of this person is 4 years old and they are a boy.,,This person looks like a 2 year old boy.,,,,,,,The age of this person is 10 years old and they are a girl.,,,,,,,This person looks like a little 3 year old boy.,The age of this person is 5 and they are a boy.,The age of this person is around 4-5 years old and I think they look like a little boy.,,The age of this person is 3 years old and the gender is a boy.,The age of this person is 4 years old and they are a boy.,3,3,3,2,2,4,5,4,2,2,4,4,2,5,1,4,2,2,1,3,,This person looks bored or like they are sad and this could be because they are dirty and probably cant take baths.,,This person is looking angry and upset.,,This perosn looks sad and it could be because of what is on her chin and they have tears coming down their face.,This person is looking curious because it seems like they are poking their head through something.,,,,"This person is looking scared because they are holding onto something, covering their mouth, and looking up.",,,This person looks sad because they are cyring.,,This person is looking very sad/upset becase they are crying and their face looks like they are upset.,,,,This person looks like they are struggling in life and they look bored. ,,This person is looking like they are being curious.,This perosn seems like they are sick and are feeling down and that is because of the hospital bracelet and all the stuff on his face.,This person looks sad and like they are waiting on something but it still hasnt came.,This person is feeling sad since they are crying.,This person looks like they are going through something and may be sad because of this. ,This person looks sad because of their lips they look like they are frowning  and their eyes are kind of watery.,,The person is feeling bored or sad because they have their hand on their face and their face is rested and not smiling nor showing emotions.,This person looks cold and sad because he doesnt have money for a coat.,This person looks sad and unhealthy because their eyes look yellow and they are not smiling.,This person is looking concerned and this could be because of what is on his arm.,This person looks sad since they are crying about something.,This person is looking sad because of the struggles he is going through.,,,,This person is sad because they are crying.,,,It was kind of hard describing things with little information given.,I chose what was easier.,Yes.,The describe part was easier than the feel deck.,3,2,2,4,4,4,4,3,female,hispanic,18,2,3,5,177,37,5,31,29,35,8,24,38,21,3,26,7,39,22,16,28,19,4,34,20,17,10,33,15,32,27,23,11,6,12,9,30,1,25,14,13,36,18,40,2,16,18,5,3513,3,51,2,23,2,22,4,32,2,39,2,29,3,30,2,16,4,18,2,41,3,16,2,13,2,16,2,18,1,30,2,22,3,16,3,16,5,31,3,13,2,39,2,46,4,46,2,18,2,31,3,30,3,21,4,43,2,306297,2,31,2,33,2,35,2,39,3,18,2,15,7,61,5,18,2,23,3,20,124,28,25,78,16,3,1527,,11/6/23 7:17,1,0,88,88,0,0,1.12
515,,828,SONA,interview,11/2/23 17:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,15,39,4,8,6,10,28,19,37,7,26,27,5,13,36,38,34,3,24,17,14,25,31,16,29,30,1,35,2,9,40,18,11,12,23,33,22,20,21,32,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,11/2/23 17:07,0,0,2,2,,,2.71
